epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.795,0.8427,3.09664,0.96702,0.94309,0.94455,0.98788,0.81365,0.67244,0.65098,0.86916,0.000174889,0.000174889,0.000174889
2,259.128,0.6651,1.0713,0.86936,0.9899,0.98912,0.99481,0.86264,0.56266,0.42593,0.8362,0.000315551,0.000315551,0.000315551
3,376.186,0.6161,0.63265,0.85783,0.97538,0.96527,0.98886,0.83302,0.62616,0.4873,0.85604,0.000421496,0.000421496,0.000421496
4,495.63,0.58742,0.4759,0.85031,0.99387,0.99433,0.99456,0.87336,0.53833,0.3645,0.83182,0.000369778,0.000369778,0.000369778
5,612.785,0.53406,0.38525,0.83406,0.99773,0.99654,0.99493,0.89906,0.47462,0.31246,0.81616,0.000317704,0.000317704,0.000317704
6,730.22,0.49146,0.33519,0.82487,0.99877,0.99904,0.99485,0.91374,0.43289,0.27882,0.8059,0.00026563,0.00026563,0.00026563
7,847.134,0.45086,0.29878,0.81342,0.99918,0.99941,0.995,0.92703,0.4057,0.25613,0.79849,0.000213556,0.000213556,0.000213556
8,965.764,0.41537,0.27324,0.80676,0.99928,0.9999,0.995,0.93505,0.37751,0.24072,0.79335,0.000161482,0.000161482,0.000161482
9,1083.11,0.38829,0.25366,0.80122,0.99948,1,0.995,0.94782,0.34307,0.2186,0.78862,0.000109408,0.000109408,0.000109408
10,1201.43,0.35934,0.23024,0.79487,0.99941,0.99979,0.995,0.95415,0.32711,0.2056,0.78415,5.7334e-05,5.7334e-05,5.7334e-05
